Date,BIST_TRY,USDTRY,CPI,BIST_USD,BIST_USD_Real
2023-03-13,5323.171875,18.961389541625977,301.643,280.73743558266284,202.41485262380425
2023-03-14,5207.27197265625,18.97100067138672,301.643,274.4858883754188,197.907416684601
2023-03-15,5121.57275390625,18.974899291992188,301.643,269.9130401217815,194.61034159587996
2023-03-16,5229.572265625,18.98699951171875,301.643,275.429104129766,198.5874858656576
2023-03-17,5136.37255859375,19.00200080871582,301.643,270.30693295401835,194.8943427638087
2023-03-20,4975.4736328125,19.00787925720215,301.643,261.75848265278074,188.73081382690128
2023-03-21,4906.57421875,19.00881004333496,301.643,258.12106110610466,186.10819192835405
2023-03-22,5001.07373046875,19.033199310302734,301.643,262.7552861153328,189.44952034906
2023-03-23,5061.97314453125,19.043899536132812,301.643,265.8054950839743,191.64875536585768
2023-03-24,5031.97314453125,19.057199478149414,301.643,264.0457822935004,190.37998262664416
2023-03-27,4997.7734375,19.0802001953125,301.643,261.935062857874,188.85813014335923
2023-03-28,4811.474609375,19.092580795288086,301.643,252.0075552364528,181.70028534812892
2023-03-29,4943.173828125,19.12070083618164,301.643,258.5247199083389,186.3992344706319
2023-03-30,4896.07421875,19.14689064025879,301.643,255.71119147959078,184.3706487885124
2023-03-31,4812.87451171875,19.17569923400879,301.643,250.98821445754348,180.9653291670691
2023-04-03,4839.47412109375,19.193479537963867,302.858,252.14157295041167,181.06758420724938
2023-04-04,4984.07373046875,19.20479965209961,302.858,259.5222975900118,186.36782075512778
2023-04-05,4919.8740234375,19.216999053955078,302.858,256.01676982051646,183.85043563229132
2023-04-06,4912.77392578125,19.250099182128906,302.858,255.2077201940908,183.2694419482808
2023-04-07,4924.57373046875,19.250699996948242,302.858,255.8127097326034,183.70389626268565
2023-04-10,5092.27294921875,19.245399475097656,302.858,264.59689526361,190.0119843527066
2023-04-11,5124.2724609375,19.265300750732422,302.858,265.9845557169767,191.00848930447214
2023-04-12,5146.07275390625,19.291040420532227,302.858,266.7597310318773,191.56515721117137
2023-04-13,5135.57275390625,19.308759689331055,302.858,265.97113623739807,190.99885252494315
2023-04-14,5092.873046875,19.335100173950195,302.858,263.4003962253337,189.15275599209986
2023-04-17,5059.373046875,19.378299713134766,302.858,261.0844667370748,187.48964366704175
2023-04-18,5018.67333984375,19.385299682617188,302.858,258.89067602828953,185.91424148624318
2023-04-19,5061.17333984375,19.399599075317383,302.858,260.8906153263349,187.3504353396441
2023-04-20,5012.2734375,19.3981990814209,302.858,258.3885966146532,185.55368885922675
2023-04-21,5012.2734375,19.404260635375977,302.858,258.3078805054858,185.495725110042
2023-04-24,5022.77294921875,19.405170440673828,302.858,258.8368375621615,185.87557907573645
2023-04-25,4890.97412109375,19.402700424194336,302.858,252.0769797071605,181.0211985899363
2023-04-26,4783.474609375,19.41783905029297,302.858,246.34433301180488,176.90447766963865
2023-04-27,4789.57470703125,19.423099517822266,302.858,246.59167825590492,177.08210092030012
2023-04-28,4617.87548828125,19.43549919128418,302.858,237.6000453002066,170.62504095071398
2023-05-01,4617.87548828125,19.449499130249023,303.316,237.42901847273043,170.2447690514091
2023-05-02,4506.17626953125,19.452049255371094,303.316,231.65560658278747,166.10503423649686
2023-05-03,4485.97607421875,19.473539352416992,303.316,230.36264713029504,165.1779378571312
2023-05-04,4484.3759765625,19.474889755249023,303.316,230.26451152843296,165.10757125669542
2023-05-05,4400.7763671875,19.487199783325195,303.316,225.8290783754963,161.9272131959077
2023-05-08,4561.87548828125,19.499000549316406,303.316,233.95432379949236,167.75329351074126
2023-05-09,4536.17626953125,19.50189971923828,303.316,232.60176366594644,166.78346139398965
2023-05-10,4494.47607421875,19.520000457763672,303.316,230.2497934845676,165.0970179132378
2023-05-11,4847.97412109375,19.53969955444336,303.316,248.10893880869898,177.90263910781604
2023-05-12,4795.57470703125,19.565799713134766,303.316,245.09985675729476,175.74502382475876
2023-05-15,4501.17626953125,19.628000259399414,303.316,229.3242413921274,164.43336524248969
2023-05-16,4589.67578125,19.67970085144043,303.316,233.21877786135477,167.22588178503716
2023-05-17,4661.67529296875,19.731300354003906,303.316,236.2578851536663,169.40502619809237
2023-05-18,4501.67626953125,19.764400482177734,303.316,227.7669020919998,163.31669942299402
2023-05-19,4501.67626953125,19.806859970092773,303.316,227.27864367842878,162.96660135414592
2023-05-22,4466.17626953125,19.815900802612305,303.316,225.3834591734775,161.60768890767804
2023-05-23,4470.97607421875,19.84454917907715,303.316,225.2999568734304,161.54781488773634
2023-05-24,4424.87646484375,19.863929748535156,303.316,222.75936941279494,159.726126333098
2023-05-25,4427.9765625,19.907100677490234,303.316,222.43201731063192,159.49140362148623
2023-05-26,4580.67578125,19.97439956665039,303.316,229.32733301770818,164.43558204432117
2023-05-29,4768.57470703125,19.989200592041016,303.316,238.55754936642768,171.05396450106696
2023-05-30,4951.37353515625,20.1270809173584,303.316,246.00554623328352,176.39443431663472
2023-05-31,4886.8740234375,20.611600875854492,303.316,237.09337537009267,170.00410140741246
2023-06-01,4959.7734375,20.786399841308594,304.099,238.6066599009365,170.64865470960075
2023-06-02,5114.97265625,20.890199661254883,304.099,244.85034797138658,175.11406640469363
2023-06-05,5372.671875,21.080299377441406,304.099,254.8669626935868,182.27783051671597
2023-06-06,5388.77099609375,21.269500732421875,304.099,253.35672256187237,181.19772467695225
2023-06-07,5561.1708984375,21.93440055847168,304.099,253.5364886591177,181.3262912587486
2023-06-08,5553.970703125,23.295530319213867,304.099,238.41357663981375,170.51056385006137
2023-06-09,5626.47021484375,23.498699188232422,304.099,239.43751821212936,171.2428747247429
2023-06-12,5588.97021484375,23.645999908447266,304.099,236.36007089922865,169.04192088672255
2023-06-13,5429.0712890625,23.66010093688965,304.099,229.46103668550978,164.10781339845954
2023-06-14,5360.771484375,23.638500213623047,304.099,226.7813708961767,162.1913481907789
2023-06-15,5495.470703125,23.568500518798828,304.099,233.17014583688405,166.76052429561503
2023-06-16,5475.47119140625,23.650800704956055,304.099,231.51314239686008,165.57545507748563
2023-06-19,5269.27197265625,23.548500061035156,304.099,223.76253090425584,160.03230961399015
2023-06-20,5251.572265625,23.601499557495117,304.099,222.51011012379766,159.13659311804545
2023-06-21,5186.7724609375,23.572099685668945,304.099,220.03862744950487,157.36901800643184
2023-06-22,5428.27099609375,23.554800033569336,304.099,230.4528583710157,164.81715251084503
2023-06-23,5582.77001953125,24.885099411010742,304.099,224.34188135334833,160.44665418754096
2023-06-26,5732.86962890625,25.317800521850586,304.099,226.43632190554956,161.944573242905
2023-06-27,5759.0693359375,25.960159301757812,304.099,221.84260385287936,158.65920054572697
2023-06-28,5759.0693359375,25.989990234375,304.099,221.5879761401531,158.4770938239508
2023-06-29,5759.0693359375,26.055500030517578,304.099,221.03085065311254,158.07864427980408
2023-06-30,5759.0693359375,26.03860092163086,304.099,221.1743001580899,158.18123766530852
2023-07-03,6015.26806640625,25.422399520874023,304.615,236.6129153728068,168.93609880866342
2023-07-04,6003.8681640625,25.864200592041016,304.615,232.13043614848945,165.735713267773
2023-07-05,6106.767578125,25.978099822998047,304.615,235.0736820527098,167.83712214526452
2023-07-06,6141.0673828125,26.085599899291992,304.615,235.41982574758342,168.08426066408555
2023-07-07,6187.0673828125,26.12980079650879,304.615,236.78203408420765,169.05684562121417
2023-07-10,6270.36669921875,26.137800216674805,304.615,239.89649653908222,171.2804991195178
2023-07-11,6362.8662109375,26.037189483642578,304.615,244.37607657058618,174.47881470440933
2023-07-12,6342.06640625,26.110000610351562,304.615,242.89798000753882,173.42348825855458
2023-07-13,6368.3662109375,26.199600219726562,304.615,243.071121602174,173.54710731583677
2023-07-14,6437.666015625,26.057199478149414,304.615,247.05901419004695,176.39436954242217
